player,games,wins,winrate,elo,main_position,champion_pool,recent_winrate
TusiN,99,45,0.45454545454545453,1454.515992560063,sup,24,0.4
ikssu,99,31,0.31313131313131315,1250.4801259509497,top,23,0.1
SoHwan,97,50,0.5154639175257731,1475.0381739927802,top,27,0.5
Slayer (Kim Jin-young),94,26,0.2765957446808511,1362.6554431113536,bot,19,0.2
Carfe,94,36,0.3829787234042553,1376.2944478601037,bot,10,0.2
bonO (Kim Gi-beom),94,49,0.5212765957446809,1475.9040931052375,jng,14,0.4
Piero (Kim Jung-hun),93,54,0.5806451612903226,1581.4670869902282,sup,16,0.5
Gamin,93,30,0.3225806451612903,1260.331735229744,bot,15,0.1
PlanB,91,30,0.32967032967032966,1370.8986939553606,sup,18,0.3
DDahyuk,91,30,0.32967032967032966,1370.8986939553606,top,17,0.3
Execute,91,36,0.3956043956043956,1480.2016924830668,sup,19,0.5
Guti (Moon Jeong-hwan),91,30,0.32967032967032966,1370.8986939553606,mid,15,0.3
HorangE,89,25,0.2808988764044944,1381.5241281267797,top,19,0.3
Toye (Park Dong-hyun),88,25,0.2840909090909091,1384.8354973449434,jng,21,0.3
Secret (Park Ki-sun),87,30,0.3448275862068966,1302.692753538315,sup,13,0.1
Leo (Han Gyeo-re),87,43,0.4942528735632184,1508.626625980248,bot,14,0.6
PangSu,86,47,0.5465116279069767,1546.9476849665546,jng,15,0.7
Spirit,86,47,0.5465116279069767,1493.8324229053947,jng,17,0.5
CuVee,86,35,0.4069767441860465,1342.8259358052635,top,26,0.1
Flawless,85,29,0.3411764705882353,1358.126048855354,jng,17,0.4
Cleaver,85,24,0.2823529411764706,1398.33399506209,mid,16,0.6
Kuro,83,39,0.46987951807228917,1469.4883591400662,mid,23,0.4
Quantum (Son Jeong-hwan),82,37,0.45121951219512196,1410.6424384950856,sup,15,0.2
Kabbie,82,50,0.6097560975609756,1618.0585442212073,sup,15,0.6
VicLa,82,47,0.573170731707317,1540.1759600302878,mid,15,0.5
Ophelia,80,33,0.4125,1386.0702487009428,mid,24,0.2
Minit,80,36,0.45,1399.4568916443818,sup,20,0.2
Meaning,77,32,0.4155844155844156,1412.943070723239,top,17,0.1
Seonbi (Koo Kwan-mo),77,24,0.3116883116883117,1334.2753829322924,jng,13,0.2
Photon,77,49,0.6363636363636364,1619.5437818754476,top,22,0.6
BAO (Jeong Hyeon-woo),76,26,0.34210526315789475,1309.2114882444935,bot,13,0.1
SOLKA,76,28,0.3684210526315789,1354.5300993968885,mid,16,0.3
TolanD,76,49,0.6447368421052632,1621.214129335283,mid,16,0.6
SamD,75,24,0.32,1384.6480793652827,bot,15,0.3
Becca (Son Min-woo),74,26,0.35135135135135137,1310.3492710662094,sup,14,0.1
Career,74,38,0.5135135135135135,1468.0152839817968,sup,22,0.4
GIDEON,73,22,0.3013698630136986,1331.5842511843657,jng,21,0.2
Rebel,73,41,0.5616438356164384,1553.614851576308,sup,14,0.7
Haru,71,26,0.36619718309859156,1353.9113952102377,jng,15,0.3
